date,city,pm2_5_mean,pm2_5_max,pm10_mean,pm10_max,nitrogen_dioxide_mean,nitrogen_dioxide_max,ozone_mean,ozone_max,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_gusts_10m_max
2022-08-01,Delhi,,,,,,,,,27.8,84,10.0,6.6,25.6
2022-08-02,Delhi,,,,,,,,,29.3,78,0.3,9.4,26.3
2022-08-03,Delhi,,,,,,,,,29.1,80,0.6,7.5,19.8
2022-08-04,Delhi,43.59473684210526,58.4,63.178947368421056,84.5,52.61578947368421,74.2,69.63157894736842,144.0,28.1,85,1.7,8.1,29.9
2022-08-05,Delhi,43.92916666666667,88.5,63.75,127.6,49.050000000000004,116.1,72.20833333333333,169.0,27.6,86,5.7,8.3,25.6
2022-08-06,Delhi,73.74583333333334,117.6,107.05,169.5,81.22916666666667,173.6,105.29166666666667,282.0,28.7,83,1.9,3.9,17.6
2022-08-07,Delhi,42.170833333333334,99.7,61.02916666666667,143.9,65.82083333333334,156.1,64.83333333333333,176.0,27.7,85,18.6,7.7,28.1
2022-08-08,Delhi,52.73333333333333,93.8,75.85000000000001,135.0,65.02083333333333,123.6,75.33333333333333,204.0,29.0,80,0.2,5.9,24.1
2022-08-09,Delhi,59.8375,101.5,86.25416666666666,145.8,55.17083333333333,96.6,67.45833333333333,167.0,30.3,77,0.4,9.7,37.1
2022-08-10,Delhi,46.541666666666664,100.4,68.37916666666666,143.4,46.36666666666667,68.8,60.166666666666664,134.0,30.9,72,0.4,10.6,35.6
2022-08-11,Delhi,27.416666666666668,44.4,44.57083333333333,63.8,31.504166666666666,56.7,59.875,121.0,27.8,82,3.8,17.3,44.6
2022-08-12,Delhi,31.6125,49.8,47.80416666666667,71.2,36.69166666666667,70.4,51.791666666666664,121.0,29.3,72,0.2,15.8,51.8
2022-08-13,Delhi,32.675000000000004,46.2,53.3125,70.5,40.62083333333333,91.9,67.91666666666667,145.0,29.4,75,0.8,13.4,38.5
2022-08-14,Delhi,53.270833333333336,82.0,79.36666666666666,122.0,60.50833333333333,87.7,53.208333333333336,131.0,27.9,85,5.5,7.3,32.0
2022-08-15,Delhi,37.0625,60.3,55.37916666666666,86.6,39.34583333333333,72.5,61.25,126.0,27.9,82,1.6,11.2,34.9
2022-08-16,Delhi,24.05,30.3,46.550000000000004,62.4,30.6125,44.4,50.708333333333336,115.0,27.4,79,8.4,22.3,66.2
2022-08-17,Delhi,26.370833333333334,53.2,50.4375,82.4,35.579166666666666,89.8,45.541666666666664,112.0,28.3,75,0.3,16.4,40.3
2022-08-18,Delhi,41.362500000000004,62.4,63.270833333333336,94.1,51.958333333333336,89.4,45.958333333333336,131.0,29.2,73,0.8,9.1,27.0
2022-08-19,Delhi,24.05,36.0,45.525,64.5,33.1,63.8,49.666666666666664,103.0,29.9,71,0.5,12.8,34.6
2022-08-20,Delhi,34.80833333333333,47.7,61.25416666666666,75.7,42.27916666666667,78.2,53.541666666666664,114.0,27.8,81,6.8,6.6,22.7
2022-08-21,Delhi,43.44583333333333,55.3,71.35416666666667,85.4,51.61666666666667,104.0,62.333333333333336,160.0,29.4,76,0.3,6.7,22.7
2022-08-22,Delhi,41.44166666666667,49.5,64.17916666666666,80.3,41.141666666666666,70.0,79.25,203.0,29.2,77,6.5,9.9,36.4
2022-08-23,Delhi,26.108333333333334,36.3,49.77916666666667,59.1,29.633333333333336,67.0,70.66666666666667,125.0,29.3,71,1.2,22.5,58.3
2022-08-24,Delhi,30.741666666666664,49.7,51.699999999999996,75.0,39.8375,83.0,57.333333333333336,140.0,28.3,76,0.7,13.0,37.1
2022-08-25,Delhi,57.775,111.5,87.28750000000001,166.7,61.75833333333333,119.4,76.45833333333333,205.0,29.1,73,0.5,5.0,19.8
2022-08-26,Delhi,52.98333333333333,114.1,89.01666666666667,170.4,47.23333333333333,92.7,58.375,141.0,30.2,65,0.5,10.9,30.2
2022-08-27,Delhi,36.829166666666666,64.0,72.96249999999999,111.3,33.645833333333336,67.4,56.958333333333336,115.0,30.6,61,1.2,16.4,37.8
2022-08-28,Delhi,37.795833333333334,59.6,75.05416666666666,99.2,40.38333333333333,85.9,49.833333333333336,127.0,31.0,55,0.1,15.4,41.4
2022-08-29,Delhi,57.22083333333333,108.7,99.5125,168.1,60.49166666666667,149.9,63.583333333333336,168.0,30.1,61,0.6,8.2,29.5
2022-08-30,Delhi,84.52499999999999,183.0,132.9,276.6,91.49166666666667,164.8,72.375,193.0,30.5,68,0.0,5.8,23.8
2022-08-31,Delhi,53.354166666666664,103.6,84.88333333333334,160.7,56.31666666666666,102.1,64.16666666666667,175.0,31.4,61,0.2,9.3,35.3
2022-09-01,Delhi,65.68333333333334,126.7,109.99166666666667,194.2,44.86666666666667,84.3,56.25,139.0,31.8,60,0.5,8.8,28.4
2022-09-02,Delhi,71.02083333333333,133.2,114.65833333333335,204.4,48.6,72.7,61.25,155.0,31.9,58,0.0,6.8,27.4
2022-09-03,Delhi,51.59583333333333,115.7,88.49166666666667,181.1,45.137499999999996,73.1,48.166666666666664,127.0,32.0,52,0.0,12.6,41.4
2022-09-04,Delhi,39.55,81.5,72.19583333333334,131.8,45.770833333333336,89.1,44.041666666666664,127.0,32.1,51,0.0,15.3,40.3
2022-09-05,Delhi,43.59166666666667,136.0,79.37083333333334,210.5,47.541666666666664,100.8,54.041666666666664,147.0,31.4,53,0.0,9.4,27.7
2022-09-06,Delhi,91.47083333333335,195.6,146.37916666666666,296.2,81.35416666666667,179.0,58.583333333333336,170.0,31.7,52,0.0,7.1,23.8
2022-09-07,Delhi,79.78333333333333,176.0,129.94166666666666,270.1,70.03333333333333,116.1,75.20833333333333,187.0,32.0,53,0.0,7.4,28.1
2022-09-08,Delhi,87.37083333333334,168.1,136.3125,246.8,70.56666666666666,143.7,86.66666666666667,228.0,31.8,53,0.0,6.5,24.1
2022-09-09,Delhi,101.10416666666667,182.1,148.59166666666667,266.4,90.125,166.4,89.08333333333333,235.0,31.5,63,0.2,8.0,24.8
2022-09-10,Delhi,64.9375,99.2,94.73333333333333,143.0,76.03333333333333,153.7,75.66666666666667,213.0,30.2,69,3.1,9.4,27.7
2022-09-11,Delhi,46.19166666666666,68.9,67.3,99.7,55.40416666666667,117.4,74.45833333333333,185.0,29.7,68,3.7,10.1,33.5
2022-09-12,Delhi,51.44166666666666,86.4,73.80833333333332,123.4,56.895833333333336,105.7,75.83333333333333,200.0,30.2,64,1.0,10.6,36.0
2022-09-13,Delhi,28.77916666666667,74.5,43.520833333333336,107.3,43.9125,98.9,51.791666666666664,131.0,29.5,67,1.6,17.4,52.9
2022-09-14,Delhi,22.933333333333334,32.4,34.4625,47.3,37.791666666666664,64.2,44.25,66.0,27.5,77,6.1,19.3,63.7
2022-09-15,Delhi,27.229166666666668,70.5,39.34583333333333,100.8,39.9,98.3,52.291666666666664,93.0,26.1,86,9.2,14.5,41.0
2022-09-16,Delhi,45.48333333333333,67.3,66.60833333333333,95.9,51.84583333333333,82.9,66.66666666666667,188.0,26.2,84,13.4,9.9,29.9
2022-09-17,Delhi,61.479166666666664,85.0,92.52916666666665,123.9,71.56666666666666,110.9,85.75,260.0,27.4,78,0.8,9.6,30.6
2022-09-18,Delhi,80.19166666666666,138.3,120.19583333333333,206.3,83.57916666666667,123.2,73.0,216.0,28.0,79,0.4,6.9,30.6
2022-09-19,Delhi,94.84583333333335,196.5,140.49583333333334,292.4,71.10416666666667,106.7,74.41666666666667,211.0,28.5,75,0.0,6.7,25.6
2022-09-20,Delhi,87.0125,139.7,124.77499999999999,200.2,78.15833333333333,122.7,76.79166666666667,241.0,27.2,84,2.4,5.3,22.3
2022-09-21,Delhi,82.98333333333333,150.4,118.80833333333334,214.7,77.02916666666667,122.8,75.5,211.0,27.4,84,1.7,5.5,23.8
2022-09-22,Delhi,58.270833333333336,137.8,84.07916666666667,197.9,57.48333333333333,107.6,51.875,130.0,25.0,92,33.9,10.7,34.2
2022-09-23,Delhi,34.275,63.6,50.00833333333333,90.8,52.07916666666667,84.9,54.083333333333336,128.0,24.7,94,48.2,12.3,31.3
2022-09-24,Delhi,27.666666666666668,31.8,40.583333333333336,46.2,47.61666666666667,73.8,46.541666666666664,88.0,24.6,94,41.5,15.9,40.7
2022-09-25,Delhi,39.829166666666666,80.3,61.074999999999996,119.2,46.8125,87.5,69.79166666666667,145.0,26.3,84,0.9,10.0,32.8
